id,hashtag,type,matched_post_ids,frequency
323,elazig,automatic,['3369774212882613230'],1.0
2,tasarruftedbirleri,default,[],
3,verimlilikpaketi,default,[],
4,memurhakkınıalamıyor,default,[],
324,elazighaber,automatic,['3369774212882613230'],1.0
325,düzce,automatic,['3369847357660244798'],1.0
326,düzcehaber,automatic,['3369847357660244798'],1.0
327,düzcehaberleri,automatic,['3369847357660244798'],1.0
328,kamupersoneli,automatic,['3369847357660244798'],1.0
329,tasarruf,automatic,['3369835260902263925'],1.0
330,esnaf,automatic,['3369835260902263925'],1.0
331,alanyasanayi,automatic,['3369835260902263925'],1.0
332,alanyahaber,automatic,['3369835260902263925'],1.0
333,alanyagündem,automatic,['3369835260902263925'],1.0
334,haberler,automatic,['3369835260902263925'],1.0
335,güncel,automatic,['3369835260902263925'],1.0
336,gündem,automatic,['3369835260902263925'],1.0
598,ekonomi,automatic,['3374746791077192022'],1.0
338,mehmetşimşek,automatic,['3373721748916730259'],1.0
339,yarın,automatic,['3373721748916730259'],1.0
397,yolsuzluk,automatic,['3372946557315558134'],1.0
340,türksağlıksen,automatic,['3373414338183836542'],1.0
367,tedbir,automatic,['3372081058488615805'],1.0
341,resmigazete,automatic,['3369843312841375856'],1.0
342,cumhurbaşkanlığı,automatic,['3369843312841375856'],1.0
398,rant,automatic,['3372946557315558134'],1.0
368,maaş,automatic,['3372081058488615805'],1.0
599,gündemhaberleri,automatic,['3374746791077192022'],1.0
344,genelge,automatic,['3369531934314108705'],1.0
345,resmi,automatic,['3369531934314108705'],1.0
346,avukat,automatic,['3369531934314108705'],1.0
347,ankara,automatic,['3369531934314108705'],1.0
348,avukatsümeyraateşboz,automatic,['3369531934314108705'],1.0
349,avsümeyraateşboz,automatic,['3369531934314108705'],1.0
350,hukuk,automatic,['3369531934314108705'],1.0
351,savunma,automatic,['3369531934314108705'],1.0
352,hak,automatic,['3369531934314108705'],1.0
353,eşitlik,automatic,['3369531934314108705'],1.0
354,adalet,automatic,['3369531934314108705'],1.0
369,sendika,automatic,['3372081058488615805'],1.0
370,büroiş,automatic,['3372081058488615805'],1.0
355,kayseri,automatic,['3369844430238529660'],1.0
356,sondakika,automatic,['3369844430238529660'],1.0
357,diyanetişleri,automatic,['3369844430238529660'],1.0
358,ekonomi,automatic,['3369844430238529660'],1.0
359,keşfet,automatic,['3369844430238529660'],1.0
360,keşfetteyiz,automatic,['3369844430238529660'],1.0
361,alierbaş,automatic,['3369844430238529660'],1.0
362,diyanetişleribaşkanlığı,automatic,['3369844430238529660'],1.0
363,kayserihaberleri,automatic,['3369844430238529660'],1.0
364,audia8,automatic,['3369844430238529660'],1.0
365,audi,automatic,['3369844430238529660'],1.0
366,makamaracı,automatic,['3369844430238529660'],1.0
399,peşkeş,automatic,['3372946557315558134'],1.0
600,ceza,automatic,['3374746791077192022'],1.0
400,kamu,automatic,['3369844524115831490'],1.0
401,diyarbakırsondakika,automatic,['3369844524115831490'],1.0
402,diyarbakırhaber,automatic,['3369844524115831490'],1.0
403,türkbürosen,automatic,['3369844524115831490'],1.0
601,vergi,automatic,['3374746791077192022'],1.0
602,iflas,automatic,['3374746791077192022'],1.0
603,borç,automatic,['3374746791077192022'],1.0
604,genelhaber,automatic,['3374746791077192022'],1.0
605,dikkat,automatic,['3374746791077192022'],1.0
606,atatürk,automatic,['3374746791077192022'],1.0
629,istihdam,automatic,['3368638240112332541'],1.0
630,mizah,automatic,['3367925125577456185'],1.0
631,adanamasası,automatic,['3367925125577456185'],1.0
632,portakalçiçeğifestivali,automatic,['3367925125577456185'],1.0
633,adanaşakası,automatic,['3367925125577456185'],1.0
634,ziyapaşa,automatic,['3367925125577456185'],1.0
635,teknosa,automatic,['3367925125577456185'],1.0
636,gazipaşa,automatic,['3367925125577456185'],1.0
637,portakalçiçeğifestivali🍊,automatic,['3367925125577456185'],1.0
638,diyarbakır,automatic,['3367916455901775901'],1.0
639,diyarbakıryenişehir,automatic,['3367916455901775901'],1.0
640,sözemekçinin,automatic,['3367887418054877957'],1.0
685,tasarrufyöntemleri,automatic,['3367214591144784616'],1.0
642,mülakatemekhırsızlığıdır,automatic,['3367887418054877957'],1.0
643,üniversite,automatic,['3367830723933266334'],1.0
644,konyatekniküniversitesi,automatic,['3367830723933266334'],1.0
645,binekaraç,automatic,['3367830723933266334'],1.0
646,araç,automatic,['3367830723933266334'],1.0
647,ihale,automatic,['3367830723933266334'],1.0
