id,poster_name,post_source_id,post_source_name,post_source_members,post_url,post_id,post_source_type,post_type,post_text,post_tokens,post_join_text,post_sentiment,post_intent,post_date,post_reaction_count,post_language,post_hashtags,post_source_url,poster_url,post_keywords,post_date_std
88,Gzt23,3369774212882613230,Gzt23,0,https://www.instagram.com/p/C7D18r0I8Pu/,3369774212882613230,instagram,hashtag,"No new service buildings will be bought, rented, rented, or intended for this purpose by public enterprises for 3 years or abroad. People's institutions and organisations will be restricted to the allocation of mobile phones in public for 3 years. There will be no printed reports, books, magazines and brochures.",,,neutral,,2024-05-17T06:46:51.000Z,5,en,"['elazig', 'elazighaber', 'kamudatasarruf']",https://www.instagram.com/p/C7D18r0I8Pu/,https://www.instagram.com/p/C7D18r0I8Pu/,"['No new service buildings', 'this purpose', 'public enterprises', 'years', 'People', 'institutions', 'organisations', 'the allocation', 'mobile phones', 'public', 'years', 'printed reports', 'books', 'magazines', 'brochures']",17/05/2024
89,iismailtuncerr,18264586690173700,iismailtuncerr,0,https://www.instagram.com/p/C7D18r0I8Pu/,18264586690173700,instagram,hashtag comment,"Master, if I say they're all ears, I swear to God, they're all ears, they're all ears. See the actual painting, President.",,,positive,,2024-05-18T07:08:45.000Z,0,en,[],https://www.instagram.com/p/C7D18r0I8Pu/,https://www.instagram.com/p/C7D18r0I8Pu/,"['Master', 'all ears', 'God', 'all ears', 'all ears', 'the actual painting', 'President']",18/05/2024
90,Düzce H6Medya,3369847357660244798,Düzce H6Medya,0,https://www.instagram.com/p/C7EGlFMoKs-/,3369847357660244798,instagram,hashtag,"The period of public austerity, which has been announced in the past few days, has begun. The Presidential Department for Savings has been published in the Official Gazette. According to the collection measures package, the most 3 vehicles in the ministries can be used in the service of the authorities. In addition to defence and security services, public institutions will end the service of personnel in public transport, while the decision for extra hours has been taken into account.",,,positive,,2024-05-17T09:12:11.000Z,3,en,"['düzce', 'düzcehaber', 'düzcehaberleri', 'kamudatasarruf', 'kamupersoneli']",https://www.instagram.com/p/C7EGlFMoKs-/,https://www.instagram.com/p/C7EGlFMoKs-/,"['The period', 'public austerity', 'the past few days', 'The Presidential Department', 'Savings', 'the Official Gazette', 'the collection', 'package', 'vehicles', 'the ministries', 'the service', 'the authorities', 'addition', 'defence', 'security services', 'public institutions', 'the service', 'personnel', 'public transport', 'the decision', 'extra hours', 'account']",17/05/2024
91,Haberibizde.com,3369835260902263925,Haberibizde.com,0,https://www.instagram.com/p/C7ED1DNqkx1/,3369835260902263925,instagram,hashtag,"The austerity programme, which also includes criminal sanctions, has been announced in the previous days, as well as those who support the announced programme. Area member Sevban Yüksel has been criticized as well as those who support the programme.",,,negative,,2024-05-17T08:48:09.000Z,2,en,"['kamudatasarruf', 'tasarruf', 'esnaf', 'alanyasanayi', 'alanyahaber', 'alanyagündem', 'haberler', 'güncel', 'gündem']",https://www.instagram.com/p/C7ED1DNqkx1/,https://www.instagram.com/p/C7ED1DNqkx1/,"['The austerity programme', 'also includes', 'criminal sanctions', 'the previous days', 'the announced programme', 'Area member Sevban Yüksel', 'the programme']",17/05/2024
92,Yarın,3373721748916730259,Yarın,0,https://www.instagram.com/p/C7R3g5PMPmT/,3373721748916730259,instagram,hashtag,"Hakan Özturk wrote: ""Is there a Village Beyond Hunger? After the announcement of this fake savings package by ridicule, the real and only sacrifice will be requested from workers, pensioners and the entire population. It will be said that we have done it now. Your presence is a gift to the existence of the AKP. In fact, ask for it as a sacred duty. What a beautiful country, what a beautiful world, isn't it? Life is good for the AKP residents. You can watch all of it from the visuals or the website in the profile.",,,positive,,2024-05-22T17:29:54.000Z,14,en,"['KamudaTasarruf', 'MehmetŞimşek', 'Yarın']",https://www.instagram.com/p/C7R3g5PMPmT/,https://www.instagram.com/p/C7R3g5PMPmT/,"['Hakan Özturk', 'a Village Beyond Hunger', 'the announcement', 'this fake savings package', 'ridicule', 'real', 'only sacrifice', 'workers', 'pensioners', 'the entire population', 'presence', 'a gift', 'the existence', 'the AKP', 'fact', 'ask', 'a sacred duty', 'a beautiful country', 'a beautiful world', 'Life', 'good', 'the AKP residents', 'the visuals', 'the website', 'the profile']",22/05/2024
93,Tokat türk sağlık sen kadın kolları,3373414338183836542,Tokat türk sağlık sen kadın kolları,0,https://www.instagram.com/p/C7QxnerqDN-/,3373414338183836542,instagram,hashtag,"If you are in public health, you can't afford to be in public.",,,negative,,2024-05-22T07:19:08.000Z,3,en,"['türksağlıksen', 'kamudatasarruf', 'memurhakkınıalamıyor']",https://www.instagram.com/p/C7QxnerqDN-/,https://www.instagram.com/p/C7QxnerqDN-/,"['public health', ""n't afford"", 'public']",22/05/2024
94,MiHaberMedya,3369843312841375856,MiHaberMedya,0,https://www.instagram.com/p/C7EFqOKosBw/,3369843312841375856,instagram,hashtag,The President of the Republic,,,positive,,2024-05-17T09:04:08.000Z,4,en,"['resmigazete', 'kamudatasarruf', 'cumhurbaşkanlığı']",https://www.instagram.com/p/C7EFqOKosBw/,https://www.instagram.com/p/C7EFqOKosBw/,"['The President', 'the Republic']",17/05/2024
95,fatihv5,18107997181391860,fatihv5,0,https://www.instagram.com/p/C7EFqOKosBw/,18107997181391860,instagram,hashtag comment,Ali Erbass: Except for the language,,,negative,,2024-05-17T10:15:24.000Z,0,en,[],https://www.instagram.com/p/C7EFqOKosBw/,https://www.instagram.com/p/C7EFqOKosBw/,"['Ali Erbass', 'the language']",17/05/2024
96,Sümeyra ATEŞ BOZ,3369531934314108705,Sümeyra ATEŞ BOZ,0,https://www.instagram.com/p/C7C-3EUIJch/,3369531934314108705,instagram,hashtag,"The 32549 issue and 5:05.2024 edition #Resmi Paper, 2024/7 General. http://www.resmigrate.gov.gov.tr/eski/2024/05/2024240517-5.pdf.",,,positive,,2024-05-16T22:45:29.000Z,10,en,"['KamudaTasarruf', 'Genelge', 'Resmi', 'Avukat', 'Ankara', 'AvukatSümeyraAteşBoz', 'AvSümeyraAteşBoz', 'hukuk', 'savunma', 'hak', 'eşitlik', 'adalet']",https://www.instagram.com/p/C7C-3EUIJch/,https://www.instagram.com/p/C7C-3EUIJch/,"['issue', 'edition', 'Resmi Paper', 'General', 'http', '//www.resmigrate.gov.gov.tr/eski/2024/05/2024240517-5.pdf']",16/05/2024
97,Hunat TV,3369844430238529660,Hunat TV,0,https://www.instagram.com/p/C7EF6e0sjh8/,3369844430238529660,instagram,hashtag,"The Editor-in-Chief of Religious Affairs has announced that Audi A8 in the presidential service, which is subject to discussion, has been extradited under the 'tasking measures'.",,,negative,,2024-05-17T09:06:22.000Z,86,en,"['kayseri', 'sondakika', 'diyanetişleri', 'kamudatasarruf', 'ekonomi', 'keşfet', 'keşfetteyiz', 'alierbaş', 'diyanetişleribaşkanlığı', 'kayserihaberleri', 'audia8', 'audi', 'makamaracı']",https://www.instagram.com/p/C7EF6e0sjh8/,https://www.instagram.com/p/C7EF6e0sjh8/,"['The Editor-in-Chief', 'Religious Affairs', 'Audi A8', 'the presidential service', 'subject', 'discussion', 'measures']",17/05/2024
